msoa,MC: Care home with nursing,MC: Care home without nursing,MC: Children's home,MC: General hospital,MC: Home or hostel,MC: Mental health hospital or unit,MC: Other home,MC: Other hospital,Other: Approved premises,Other: Defence,Other: Detention centres,Other: Education,Other: Prison service,Other: Religious,Other: Staff/Worker accommodation,Other: Temporary accommodation,total
E02000001,0,0,0,0,0,0,0,1,0,0,0,2,0,0,2,32,37
E02000002,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
E02000003,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
E02000004,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3
E02000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02000007,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
E02000008,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
E02000009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02000010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02000011,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4
E02000012,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
E02000013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02000014,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
E02000015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02000016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
E02000017,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
E02000018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02000019,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
E02000020,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2
E02000021,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
E02000022,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5
E02000023,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12
E02000024,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,1,5
E02000025,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
E02000026,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
E02000027,1,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6
E02000028,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
E02000029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02000030,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
E02000031,0,4,0,0,1,0,0,0,0,0,0,0,0,1,0,1,7
E02000032,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
E02000033,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
E02000034,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
E02000035,1,4,0,0,0,0,2,0,0,0,0,1,0,0,2,0,10
E02000036,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
E02000037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02000038,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
E02000039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02000040,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,4
E02000041,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
E02000042,2,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12
E02000043,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4
E02000044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02000045,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
E02000046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02000047,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,3
E02000048,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
E02000049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02000050,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3
E02000051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3
E02000052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02000054,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
E02000055,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,4
E02000056,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
E02000057,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5
E02000058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
E02000059,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
E02000060,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11
E02000061,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,9
E02000062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
E02000063,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
E02000064,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4
E02000065,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
E02000066,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
E02000067,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3
E02000068,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
E02000069,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,3
E02000070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02000071,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
E02000072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02000073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02000074,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
E02000075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02000077,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
E02000078,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
E02000079,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4
E02000080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02000081,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
E02000082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02000083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02000084,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3
E02000085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
E02000086,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
E02000087,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
E02000088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02000089,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
E02000090,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,2,8
E02000091,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,5
E02000092,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
E02000093,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4
E02000094,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
E02000095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
E02000096,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
E02000097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02000098,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,4
E02000099,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
E02000100,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,3
E02000101,3,5,0,0,1,0,0,0,0,0,0,0,0,0,1,2,12
E02000102,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
E02000103,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
E02000104,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9
E02000105,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
E02000106,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
E02000107,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,4
E02000108,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5
E02000110,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
E02000111,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4
E02000112,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
E02000113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02000114,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
E02000115,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,4
E02000116,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3
E02000117,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
E02000118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
E02000119,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,6
E02000120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
E02000121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02000122,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
E02000123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
E02000124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
E02000125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02000126,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
E02000127,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
E02000128,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5
E02000130,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
E02000131,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2
E02000132,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,4
E02000133,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5
E02000134,2,3,1,0,0,0,1,0,0,0,0,0,0,1,0,2,10
E02000135,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
E02000136,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
E02000137,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
E02000138,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
E02000139,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
E02000140,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
E02000141,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
E02000142,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
E02000144,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3,5
E02000145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
E02000146,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
E02000147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02000148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
E02000149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02000150,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2
E02000151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02000152,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
E02000153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02000154,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
E02000155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02000156,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
E02000157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02000158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02000159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02000160,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,3
E02000161,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5
E02000162,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3
E02000163,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
E02000165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02000166,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
E02000167,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,1,7
E02000168,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,4
E02000169,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
E02000170,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
E02000171,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3
E02000172,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,6
E02000173,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,2,9
E02000174,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2
E02000175,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,3
E02000176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
E02000177,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
E02000178,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2
E02000179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
E02000180,0,1,0,0,0,1,0,0,0,0,0,2,0,0,1,1,6
E02000181,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2
E02000182,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
E02000183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
E02000184,0,0,0,0,0,2,0,0,0,0,0,6,0,0,1,0,9
E02000185,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
E02000186,0,0,3,0,0,0,0,0,1,0,0,1,0,0,0,7,12
E02000187,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,3,7
E02000188,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,2,10
E02000191,1,0,0,2,0,0,1,1,0,0,0,18,0,0,4,9,36
E02000192,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,4,7
E02000193,0,0,0,0,0,0,0,2,0,0,0,4,0,0,5,19,30
E02000194,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,6
E02000195,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
E02000196,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6
E02000197,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
E02000198,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7
E02000199,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,4
E02000200,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
E02000201,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
E02000202,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
